DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;33.72;
ACTIVITY;132;13;11;2;3569;31.77;
ADAPTER;186;24;17;3;702;5.75;
[FOLDERCALLBACK];97;10;6;2;777;1.69;
ENTITY;47;10;6;2;702;3.3;
FRAGMENT;314;26;14;2;4557;9.57;
VIEW;216;47;17;3;3620;8.52;
[POSTLOADER];81;23;19;2;702;1.25;
