DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;15.62;
OBSERVABLE;45;7;7;3;702;1.55;
ACTIVITY;132;13;11;2;3569;27.79;
ADAPTER;186;24;17;3;702;7.27;
REMOTEOPERATION;79;18;18;3;702;7.25;
ASYNCTASK;158;36;20;3;702;2.28;
ENTITY;47;10;6;2;702;3.82;
FRAGMENT;314;26;14;2;4557;18.73;
VIEW;216;47;17;3;3620;4.06;
SERVICE;120;22;17;3;1439;8.41;
