DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;24.37;
ACTIVITY;132;13;11;2;3569;19.55;
ADAPTER;186;24;17;3;702;2.47;
PERSISTENCE;89;19;13;4;914;8.71;
ELEMENT;45;7;6;2;702;1.39;
ASYNCTASK;158;36;20;3;702;4.73;
ENTITY;47;10;6;2;702;5.24;
ABSTRACTGENERATOR;45;7;6;3;702;1.55;
FRAGMENT;314;26;14;2;4557;7.16;
[TRANSFERABLE];93;18;22;2;702;3.66;
ABSTRACTPARSER;180;62;17;2;702;3.39;
SERVICE;120;22;17;3;1439;11.35;
