DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;17.59;
BROADCASTRECEIVER;61;12;16;3;702;2.83;
TEST;45;7;7;2;702;9.54;
ACTIVITY;132;13;11;2;3569;7.6;
ADAPTER;186;24;17;3;702;9.63;
DIALOG;121;19;13;3;1214;4.68;
ENTITY;47;10;6;2;702;3.51;
FRAGMENT;314;26;14;2;4557;16.61;
VIEW;216;47;17;3;3620;21.26;
SERVICE;120;22;17;3;1439;4.53;
