DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;29.35;
MESSAGE;45;12;10;2;702;1.85;
ACTIVITY;132;13;11;2;3569;5.25;
PROTOCOL;54;11;12;4;1441;1.59;
PERSISTENCE;89;19;13;4;914;7.82;
ENTITY;47;10;6;2;702;2.72;
FRAGMENT;314;26;14;2;4557;30.24;
VIEW;216;47;17;3;3620;2.14;
HANDLER;62;20;15;2;702;2.7;
SERVICE;120;22;17;3;1439;6.28;
