DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;23.01;
ACTIVITY;132;13;11;2;3569;2.14;
ADAPTER;186;24;17;3;702;1.13;
PERSISTENCE;89;19;13;4;914;1.67;
DIALOG;121;19;13;3;1214;2.61;
NOTIFICATION;541;180;21;5;1737;1.39;
CONTROLLER;520;148;49;12;8258;9.45;
FRAGMENT;314;26;14;2;4557;21.8;
VIEW;216;47;17;3;3620;25.47;
SERVICE;120;22;17;3;1439;1.48;
