DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;29;
APPINTRO;45;7;6;2;702;1.65;
NANOHTTPD;89;24;20;2;702;3.68;
ACTIVITY;132;13;11;2;3569;28.11;
ASYNCTASK;158;36;20;3;702;3.46;
FRAGMENT;314;26;14;2;4557;20.41;
VIEW;216;47;17;3;3620;6.73;
MULTIDEXAPPLICATION;54;7;12;2;702;1.22;
SERVICE;120;22;17;3;1439;4.05;
