DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;11.29;
BROADCASTRECEIVER;61;12;16;3;702;8.93;
DASHCLOCKEXTENSION;45;12;10;2;702;1.33;
ACTIVITY;132;13;11;2;3569;45.15;
ASYNCTASK;158;36;20;3;702;5.15;
ENTITY;47;10;6;2;702;11.84;
FRAGMENT;314;26;14;2;4557;4.24;
WIDGET;50;8;16;4;702;10.97;
