DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;58.01;
[ELEMENTTIME];45;8;7;2;702;1.76;
[NODE| EVENTTARGET];45;7;6;2;702;1.29;
BROADCASTRECEIVER;61;12;16;3;702;2.95;
GENERICPDU;45;7;6;2;702;2.74;
[COM.SQUAREUP.OKHTTP.INTERNAL.NETWORK];45;7;6;2;702;1.28;
ACTION;48;9;14;3;702;3.78;
ENTITY;47;10;6;2;702;6.47;
[OBSERVER];45;8;9;2;702;1.69;
ABSTRACTCACHE;45;7;7;2;702;1.24;
NODEIMPL;45;7;6;2;702;8.25;
SERVICE;120;22;17;3;1439;6.39;
