DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;16.55;
ACTIVITY;132;13;11;2;3569;9.79;
ADAPTER;186;24;17;3;702;3.71;
PERSISTENCE;89;19;13;4;914;10.58;
DIALOG;121;19;13;3;1214;1.06;
ASYNCTASK;158;36;20;3;702;7.82;
ENTITY;47;10;6;2;702;6.29;
FRAGMENT;314;26;14;2;4557;31.05;
VIEW;216;47;17;3;3620;6.1;
MULTIDEXAPPLICATION;54;7;12;2;702;1.09;
GETYOUTUBEVIDEOS;45;7;6;2;702;3.75;
