DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;11.5;
TEST;45;7;7;2;702;27.33;
ABSTRACTBASEPRESENTER;45;7;6;2;702;3.12;
ACTIVITY;132;13;11;2;3569;4.35;
ADAPTER;186;24;17;3;702;1.31;
PERSISTENCE;89;19;13;4;914;3.82;
FRAGMENT;314;26;14;2;4557;29.39;
VIEW;216;47;17;3;3620;2.21;
MODEL;45;7;9;2;702;12.29;
SERVICE;120;22;17;3;1439;1.16;
