DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;44.07;
MESSAGE;45;12;10;2;702;1.42;
TEST;45;7;7;2;702;20.35;
ACTIVITY;132;13;11;2;3569;8.27;
PERSISTENCE;89;19;13;4;914;5.83;
ENTITY;47;10;6;2;702;1.32;
FRAGMENT;314;26;14;2;4557;4.66;
VIEW;216;47;17;3;3620;4.47;
SERVICE;120;22;17;3;1439;1.12;
