DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;21.97;
SHAPEDRAWABLE;45;7;6;2;702;1.76;
TEST;45;7;7;2;702;4.75;
[CONTACTSREPO];45;7;6;2;702;1.02;
ACTIVITY;132;13;11;2;3569;14.96;
BASEOBSERVABLE;45;7;6;2;702;19.16;
WAYPOINTSREPO;45;7;6;2;702;1.23;
ENTITY;47;10;6;2;702;1.49;
[INCOMINGMESSAGEPROCESSOR];45;7;8;2;702;2.99;
FRAGMENT;314;26;14;2;4557;5.44;
VIEW;216;47;17;3;3620;4.14;
SERVICE;120;22;17;3;1439;16.24;
