DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;17.47;
TEST;45;7;7;2;702;1.49;
ACTIVITY;132;13;11;2;3569;9.39;
ADAPTER;186;24;17;3;702;6.61;
DIALOG;121;19;13;3;1214;1.51;
LIVEDATA;45;7;14;2;702;2.22;
APPLICATION;61;9;9;2;702;2.25;
ENTITY;47;10;6;2;702;2.73;
FRAGMENT;314;26;14;2;4557;38.71;
VIEW;216;47;17;3;3620;4.89;
MODEL;45;7;9;2;702;3.67;
SERVICE;120;22;17;3;1439;6.14;
