DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;13.62;
TIPRESENTER;45;11;11;3;702;16.46;
ACTIVITY;132;13;11;2;3569;14.49;
ADAPTER;186;24;17;3;702;1.14;
ENTITY;47;10;6;2;702;12.43;
FRAGMENT;314;26;14;2;4557;25.92;
VIEW;216;47;17;3;3620;10.08;
SERVICE;120;22;17;3;1439;1.31;
