DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;29.36;
ACTIVITY;132;13;11;2;3569;23.89;
ADAPTER;186;24;17;3;702;9.62;
FRAGMENT;314;26;14;2;4557;17.95;
VIEW;216;47;17;3;3620;10.47;
SERVICE;120;22;17;3;1439;2.86;
