DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;17.89;
ACTIVITY;132;13;11;2;3569;1.92;
ADAPTER;186;24;17;3;702;33.06;
[SIMPLELISTITEM];45;7;6;2;702;1.06;
PREFERENCE;45;7;6;2;702;1.31;
ENTITY;47;10;6;2;702;4.78;
FRAGMENT;314;26;14;2;4557;3;
VIEW;216;47;17;3;3620;5.42;
BEAN;73;17;16;2;702;22.33;
