DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;20.34;
COMMAND;45;7;6;2;702;1.25;
TEST;45;7;7;2;702;23.27;
ADAPTER;186;24;17;3;702;1.46;
PERSISTENCE;89;19;13;4;914;1.08;
FRAGMENT;314;26;14;2;4557;10.42;
VIEW;216;47;17;3;3620;30.73;
MODEL;45;7;9;2;702;3.27;
ABSTRACTIMPORTER;45;7;10;2;702;1.71;
