DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;26.56;
TEST;45;7;7;2;702;6.08;
ACTIVITY;132;13;11;2;3569;9.23;
ADAPTER;186;24;17;3;702;2.83;
PERSISTENCE;89;19;13;4;914;5.03;
ASYNCTASK;158;36;20;3;702;4.17;
ENTITY;47;10;6;2;702;1.3;
FRAGMENT;314;26;14;2;4557;33.21;
VIEW;216;47;17;3;3620;4.36;
SERVICE;120;22;17;3;1439;1.27;
