DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;25.76;
TEST;45;7;7;2;702;8.85;
ACTIVITY;132;13;11;2;3569;10.73;
PERSISTENCE;89;19;13;4;914;2.18;
CONTROLLER;520;148;49;12;8258;1.22;
ASYNCTASK;158;36;20;3;702;1.38;
ENTITY;47;10;6;2;702;3.82;
FRAGMENT;314;26;14;2;4557;20.02;
VIEW;216;47;17;3;3620;11.22;
MODEL;45;7;9;2;702;3.23;
FUNNEL;45;7;6;2;702;2.02;
