DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;14.91;
ACTIVITY;132;13;11;2;3569;17.73;
ADAPTER;186;24;17;3;702;10.01;
HASHMAP;45;10;7;2;702;1.09;
PERSISTENCE;89;19;13;4;914;3.49;
FRAGMENT;314;26;14;2;4557;4.72;
[HANDLER.CALLBACK];79;13;11;2;702;3.47;
VIEW;216;47;17;3;3620;19.86;
WIDGET;50;8;16;4;702;2.9;
COMMON;45;23;9;2;702;3.62;
SERVICE;120;22;17;3;1439;13.12;
