DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;32.87;
TEST;45;7;7;2;702;3.13;
ACTIVITY;132;13;11;2;3569;9.63;
ADAPTER;186;24;17;3;702;1.56;
PERSISTENCE;89;19;13;4;914;10.99;
ENTITY;47;10;6;2;702;2.53;
FRAGMENT;314;26;14;2;4557;8.04;
VIEW;216;47;17;3;3620;11.58;
MODEL;45;7;9;2;702;1.85;
SERVICE;120;22;17;3;1439;2.01;
JOB;50;12;20;3;702;5.91;
