DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;31.25;
TRACKER;479;161;7;2;702;1.95;
TEST;45;7;7;2;702;1.84;
ACTIVITY;132;13;11;2;3569;19.09;
FRAGMENT;314;26;14;2;4557;29.68;
VIEW;216;47;17;3;3620;4.48;
SITESETTINGSINTERFACE;79;12;6;2;810;1.16;
SERVICE;120;22;17;3;1439;2.81;
