DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;20.72;
TEST;45;7;7;2;702;4.24;
ACTIVITY;132;13;11;2;3569;23.55;
ADAPTER;186;24;17;3;702;5.3;
PERSISTENCE;89;19;13;4;914;5.03;
REMOTEOPERATION;79;18;18;3;702;5.5;
ASYNCTASK;158;36;20;3;702;1.54;
ENTITY;47;10;6;2;702;1.57;
FRAGMENT;314;26;14;2;4557;17.36;
VIEW;216;47;17;3;3620;3.5;
MULTIDEXAPPLICATION;54;7;12;2;702;1;
SERVICE;120;22;17;3;1439;3.2;
JOB;50;12;20;3;702;1.76;
