DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;28.66;
TEST;45;7;7;2;702;13.48;
ACTIVITY;132;13;11;2;3569;9.84;
ADAPTER;186;24;17;3;702;2.26;
NAMESPACE;77;37;13;2;702;1.25;
BASECASTMANAGER;45;7;8;3;913;2.34;
FRAGMENT;314;26;14;2;4557;17.31;
FEEDCOMPONENT;45;8;6;2;702;2.92;
VIEW;216;47;17;3;3620;2.22;
SERVICE;120;22;17;3;1439;9.76;
