DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;171;25;14;3;1975;33.16;
TEST;45;7;7;2;702;7.8;
ACTIVITY;132;13;11;2;3569;7.93;
[RECYCLERPRELOADSIZEPROVIDER.RECYCLERPRELOADSIZEPROVIDERCALLBACK];45;17;12;3;748;2.51;
PERSISTENCE;89;19;13;4;914;5.26;
[CLOSEABLE];73;15;11;2;702;4.67;
ASYNCTASK;158;36;20;3;702;8.11;
ENTITY;47;10;6;2;702;1.43;
FRAGMENT;314;26;14;2;4557;13.32;
VIEW;216;47;17;3;3620;6;
SERVICE;120;22;17;3;1439;4.32;
